,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
19,000001.XSHE,000001,平安银行,XSHE,2021-01-29,22.81,22.81,22.81,23.54,22.71,23.09,124025841,2864101419.33,105906,0.0064,0.9921976328,448078829843,448082651238,0.0123,15.4896,15.4896,1.2306,1,23.093
20,000001.XSHE,000001,平安银行,XSHE,2021-02-01,23.09,23.09,23.0,24.99,22.7,24.55,147523930,3529556986.77,115321,0.0076,0.9921976328,476411228785,476415291810,0.0632,16.469,16.469,1.3084,1,23.925
21,000001.XSHE,000001,平安银行,XSHE,2021-02-02,24.55,24.55,23.38,24.1,22.91,23.28,241616877,5679179941.74,163688,0.0125,0.9921976328,451765964760,451769775696,-0.0517,15.617,15.617,1.2407,1,23.505
22,000001.XSHE,000001,平安银行,XSHE,2021-02-03,23.28,23.28,23.48,25.18,23.38,24.95,192327159,4690176486.28,164543,0.0099,0.9921976328,484173574775,484177659090,0.0717,16.7373,16.7373,1.3297,1,24.386
23,000001.XSHE,000001,平安银行,XSHE,2021-02-04,24.95,24.95,24.18,25.24,24.04,24.6,125524750,3084553750.95,137156,0.0065,0.9921976328,477381560700,477385587720,-0.014,16.5025,16.5025,1.311,1,24.573
24,000001.XSHE,000001,平安银行,XSHE,2021-02-05,24.6,24.6,24.6,25.31,24.27,24.93,101557559,2517804159.63,111890,0.0052,0.9921976328,483785459685,483789540726,0.0134,16.7239,16.7239,1.3286,1,24.792
25,000001.XSHE,000001,平安银行,XSHE,2021-02-08,24.93,24.93,24.9,24.9,24.1,24.8,108426467,2650948251.38,93243,0.0056,0.9921976328,481262711600,481266771360,-0.0052,16.6367,16.6367,1.3217,1,24.449
26,000001.XSHE,000001,平安银行,XSHE,2021-02-09,24.8,24.8,24.79,24.84,24.17,24.58,94209355,2302978158.4,96636,0.0049,0.9921976328,476993445610,476997469356,-0.0089,16.4891,16.4891,1.31,1,24.445
27,000001.XSHE,000001,平安银行,XSHE,2021-02-10,24.58,24.58,24.6,24.96,23.38,23.82,191886710,4569741959.9,145987,0.0099,0.9921976328,462245072190,462248971524,-0.0309,15.9793,15.9793,1.2695,1,23.815
28,000001.XSHE,000001,平安银行,XSHE,2021-02-18,23.82,23.82,24.0,24.55,23.48,24.3,150523081,3619387651.71,131663,0.0078,0.9921976328,471559834350,471563812260,0.0202,16.3013,16.3013,1.295,1,24.045
29,000001.XSHE,000001,平安银行,XSHE,2021-02-19,24.3,24.3,23.96,24.19,23.57,23.85,92258314,2197558286.91,89755,0.0048,0.9921976328,462827244825,462831149070,-0.0185,15.9994,15.9994,1.2711,1,23.82
30,000001.XSHE,000001,平安银行,XSHE,2021-02-22,23.85,23.85,23.8,23.8,22.26,22.38,195684248,4445818547.6,173237,0.0101,0.9921976328,434300785710,434304449316,-0.0616,15.0133,15.0133,1.1927,1,22.719
